incident_id,animal_category,incident_type,time_of_day,location_type,weather,has_bleeding,has_trapped,has_unconscious,near_highway,in_storm,response_time_min,distance_km,org_type,priority,rescue_success
1,dog,injured,evening,rural,rain,0,0,0,0,0,99,44.66,veterinary,low,0
2,dog,injured,morning,rural,rain,1,0,0,0,0,30,35.94,firefighter,medium,1
3,other,endangered,morning,rural,fog,0,0,0,0,0,48,14.25,wildlife_center,medium,0
4,bird,injured,morning,water_body,clear,0,0,0,0,0,38,40.45,firefighter,low,1
5,wildlife,injured,evening,highway,storm,1,0,1,1,1,10,33.23,blue_cross,critical,0
6,cat,injured,night,forest,fog,1,0,0,0,0,52,18.09,blue_cross,medium,1
7,dog,other,afternoon,highway,rain,0,0,0,1,0,25,23.38,blue_cross,medium,0
8,other,trapped,evening,urban,rain,0,1,0,0,0,110,2.09,blue_cross,medium,1
9,dog,trapped,evening,rural,fog,0,1,0,0,0,55,44.29,firefighter,medium,1
10,cat,trapped,evening,highway,fog,0,1,0,1,0,119,29.38,blue_cross,critical,1
11,cat,other,night,urban,clear,0,0,0,0,0,115,5.93,wildlife_center,low,0
12,wildlife,other,morning,water_body,fog,0,0,0,0,0,81,49.81,blue_cross,low,0
13,dog,injured,evening,forest,clear,0,0,0,0,0,5,47.71,blue_cross,low,0
14,cat,other,morning,forest,rain,0,0,0,0,0,24,19.01,wildlife_center,low,1
15,other,injured,evening,water_body,clear,0,0,0,0,0,111,40.44,wildlife_center,low,1
16,other,injured,morning,water_body,clear,1,0,0,0,0,21,6.86,firefighter,medium,0
17,cat,endangered,night,rural,rain,0,0,0,0,0,96,15.93,blue_cross,medium,1
18,other,aggressive,morning,rural,rain,0,0,0,0,0,13,17.24,wildlife_center,low,1
19,dog,injured,morning,rural,clear,1,0,1,0,0,14,25.95,blue_cross,critical,1
20,cat,other,afternoon,highway,fog,0,0,0,1,0,36,39.34,firefighter,medium,1
21,dog,aggressive,evening,water_body,fog,0,0,0,0,0,64,43.26,veterinary,low,0
22,dog,injured,night,forest,clear,0,0,0,0,0,62,7.44,wildlife_center,low,1
23,cat,injured,night,highway,clear,0,0,1,1,0,112,1.23,veterinary,critical,0
24,cat,trapped,night,water_body,fog,0,1,0,0,0,32,43.3,veterinary,medium,1
25,dog,aggressive,evening,water_body,storm,0,0,0,0,1,59,34.98,firefighter,low,1
26,bird,trapped,morning,highway,clear,0,1,0,1,0,100,16.02,veterinary,critical,0
27,other,other,afternoon,urban,clear,0,0,0,0,0,113,9.7,veterinary,low,0
28,cat,aggressive,morning,highway,rain,0,0,0,1,0,79,29.93,veterinary,medium,1
29,other,other,evening,forest,rain,0,0,0,0,0,90,35.95,wildlife_center,low,1
30,cat,endangered,night,forest,clear,0,0,0,0,0,6,23.19,veterinary,medium,1
31,cat,other,evening,rural,storm,0,0,0,0,1,117,3.91,wildlife_center,low,0
32,cat,aggressive,evening,highway,clear,0,0,0,1,0,90,40.95,blue_cross,medium,0
33,dog,trapped,evening,urban,clear,0,1,0,0,0,100,27.88,blue_cross,medium,1
34,cat,endangered,afternoon,forest,fog,0,0,0,0,0,37,45.31,veterinary,medium,1
